municipality,group,variable,month,Nro.,Nro. Afectados,Nro. Fallecidos,TOTAL
COCAPATA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2012-01-01,4.0,0.0,0.0,4.0
ICHOCA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2012-01-01,1.0,10.0,0.0,11.0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2012-01-01,0.0,0.0,0.0,0.0
TRIGAL,registro de eventos de notificacion inmediata,helada/granizo/nevada,2012-01-01,1.0,7.0,0.0,8.0
COCAPATA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2012-03-01,7.0,0.0,0.0,7.0
TARATA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2012-03-01,1.0,63.0,0.0,64.0
VILLA VACA GUZMAN (MUYUPAMPA),registro de eventos de notificacion inmediata,helada/granizo/nevada,2012-03-01,0.0,15.0,0.0,15.0
COCAPATA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2012-04-01,2.0,0.0,0.0,2.0
PUCARA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2012-05-01,1.0,0.0,0.0,1.0
COCAPATA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2012-06-01,2.0,0.0,0.0,2.0
PUCARA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2012-06-01,1.0,0.0,0.0,1.0
COCAPATA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2012-07-01,4.0,0.0,0.0,4.0
LAGUNILLAS,registro de eventos de notificacion inmediata,helada/granizo/nevada,2012-07-01,5.0,1700.0,0.0,1705.0
PUCARA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2012-07-01,2.0,0.0,0.0,2.0
COCAPATA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2012-08-01,6.0,0.0,0.0,6.0
VALLEGRANDE,registro de eventos de notificacion inmediata,helada/granizo/nevada,2012-08-01,1.0,0.0,0.0,1.0
COCAPATA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2012-09-01,2.0,0.0,0.0,2.0
ALCALA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2012-10-01,1.0,2.0,2.0,5.0
SAN LUCAS,registro de eventos de notificacion inmediata,helada/granizo/nevada,2012-10-01,1.0,1719.0,0.0,1720.0
COCAPATA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2012-11-01,6.0,0.0,0.0,6.0
TRIGAL,registro de eventos de notificacion inmediata,helada/granizo/nevada,2012-11-01,1.0,27.0,0.0,28.0
COCAPATA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2012-12-01,1.0,0.0,0.0,1.0
COTAGAITA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2012-12-01,1.0,80.0,0.0,81.0
TARVITA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2012-12-01,2.0,45.0,0.0,47.0
