municipality,group,variable,month,Nro.,Nro. Afectados,Nro. Fallecidos,TOTAL
EL TORNO,registro de eventos de notificacion inmediata,incendio,2010-01-01,1.0,0.0,0.0,1.0
REYES,registro de eventos de notificacion inmediata,incendio,2010-02-01,1.0,5.0,0.0,6.0
ANDAMARCA,registro de eventos de notificacion inmediata,incendio,2010-03-01,1.0,1.0,0.0,2.0
BUENA VISTA,registro de eventos de notificacion inmediata,incendio,2010-03-01,1.0,8.0,0.0,9.0
PALOS BLANCOS,registro de eventos de notificacion inmediata,incendio,2010-03-01,1.0,6.0,2.0,9.0
PALOS BLANCOS,registro de eventos de notificacion inmediata,incendio,2010-04-01,1.0,6.0,0.0,7.0
RIBERALTA,registro de eventos de notificacion inmediata,incendio,2010-06-01,1.0,0.0,0.0,1.0
CONCEPCION,registro de eventos de notificacion inmediata,incendio,2010-07-01,1.0,20.0,0.0,21.0
EL PUENTE(STC),registro de eventos de notificacion inmediata,incendio,2010-08-01,1.0,88.0,0.0,89.0
MACHARETI,registro de eventos de notificacion inmediata,incendio,2010-08-01,3.0,33.0,0.0,36.0
MAGDALENA,registro de eventos de notificacion inmediata,incendio,2010-08-01,2.0,10.0,0.0,12.0
RIBERALTA,registro de eventos de notificacion inmediata,incendio,2010-08-01,3.0,0.0,0.0,3.0
SAN IGNACIO DE VELASCO,registro de eventos de notificacion inmediata,incendio,2010-08-01,1.0,30.0,0.0,31.0
SAN LUCAS,registro de eventos de notificacion inmediata,incendio,2010-08-01,1.0,1.0,0.0,2.0
SAN MIGUEL DE VELASCO,registro de eventos de notificacion inmediata,incendio,2010-08-01,2.0,17.0,0.0,19.0
SAN RAFAEL,registro de eventos de notificacion inmediata,incendio,2010-08-01,1.0,8.0,0.0,9.0
TARIJA,registro de eventos de notificacion inmediata,incendio,2010-08-01,2.0,8.0,0.0,10.0
TARVITA,registro de eventos de notificacion inmediata,incendio,2010-08-01,1.0,5.0,0.0,6.0
VALLEGRANDE,registro de eventos de notificacion inmediata,incendio,2010-08-01,1.0,3.0,0.0,4.0
BELLA FLOR,registro de eventos de notificacion inmediata,incendio,2010-09-01,9.0,11.0,0.0,20.0
EL TORNO,registro de eventos de notificacion inmediata,incendio,2010-09-01,2.0,1.0,0.0,3.0
FILADELFIA,registro de eventos de notificacion inmediata,incendio,2010-09-01,1.0,8.0,0.0,9.0
IXIAMAS,registro de eventos de notificacion inmediata,incendio,2010-09-01,5.0,0.0,0.0,5.0
LAGUNILLAS,registro de eventos de notificacion inmediata,incendio,2010-09-01,1.0,5.0,0.0,6.0
NACEBE (SANTA ROSA DEL ABUNA),registro de eventos de notificacion inmediata,incendio,2010-09-01,6.0,0.0,0.0,6.0
RURRENABAQUE,registro de eventos de notificacion inmediata,incendio,2010-09-01,4.0,510.0,0.0,514.0
SAN IGNACIO DE VELASCO,registro de eventos de notificacion inmediata,incendio,2010-09-01,1.0,2.0,0.0,3.0
SAN LORENZO(PND),registro de eventos de notificacion inmediata,incendio,2010-09-01,5.0,297.0,0.0,302.0
SANTA ROSA,registro de eventos de notificacion inmediata,incendio,2010-09-01,1.0,5.0,0.0,6.0
TARIJA,registro de eventos de notificacion inmediata,incendio,2010-09-01,1.0,0.0,0.0,1.0
VALLEGRANDE,registro de eventos de notificacion inmediata,incendio,2010-09-01,1.0,2.0,0.0,3.0
VITICHI,registro de eventos de notificacion inmediata,incendio,2010-09-01,2.0,0.0,1.0,3.0
EL TORNO,registro de eventos de notificacion inmediata,incendio,2010-10-01,1.0,0.0,0.0,1.0
ENTRE RIOS TRJ,registro de eventos de notificacion inmediata,incendio,2010-10-01,3.0,1.0,1.0,5.0
PADCAYA,registro de eventos de notificacion inmediata,incendio,2010-10-01,1.0,14.0,4.0,19.0
PORONGO,registro de eventos de notificacion inmediata,incendio,2010-10-01,9.0,10.0,1.0,20.0
POSTRER VALLE,registro de eventos de notificacion inmediata,incendio,2010-10-01,2.0,50.0,0.0,52.0
REYES,registro de eventos de notificacion inmediata,incendio,2010-10-01,1.0,6.0,0.0,7.0
SAN LORENZO(TJA),registro de eventos de notificacion inmediata,incendio,2010-10-01,1.0,0.0,0.0,1.0
ASCENCION DE GUARAYOS,registro de eventos de notificacion inmediata,incendio,2010-11-01,17.0,96.0,0.0,113.0
CABEZAS,registro de eventos de notificacion inmediata,incendio,2010-11-01,1.0,16.0,0.0,17.0
EL TORNO,registro de eventos de notificacion inmediata,incendio,2010-11-01,2.0,0.0,0.0,2.0
LAGUNILLAS,registro de eventos de notificacion inmediata,incendio,2010-11-01,1.0,69.0,0.0,70.0
SAN LUCAS,registro de eventos de notificacion inmediata,incendio,2010-11-01,1.0,0.0,2.0,3.0
VALLEGRANDE,registro de eventos de notificacion inmediata,incendio,2010-11-01,10.0,94.0,1.0,105.0
VILLA TUNARI,registro de eventos de notificacion inmediata,incendio,2010-12-01,0.0,0.0,1.0,1.0
