municipality,group,variable,month,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
ACACIO,desnutricion global,nutricion normal (n),2006-01-01,42,55,45,40,87,95,182
ACHACACHI,desnutricion global,nutricion normal (n),2006-01-01,312,335,368,360,680,695,1375
ACHOCALLA,desnutricion global,nutricion normal (n),2006-01-01,34,34,18,19,52,53,105
AIQUILE,desnutricion global,nutricion normal (n),2006-01-01,52,43,38,27,90,70,160
ALALAY,desnutricion global,nutricion normal (n),2006-01-01,2,2,1,1,3,3,6
ALCALA,desnutricion global,nutricion normal (n),2006-01-01,38,28,35,36,73,64,137
ANCORAIMES,desnutricion global,nutricion normal (n),2006-01-01,79,87,130,124,209,211,420
ANDAMARCA,desnutricion global,nutricion normal (n),2006-01-01,3,3,2,2,5,5,10
ANZALDO,desnutricion global,nutricion normal (n),2006-01-01,5,17,8,8,13,25,38
APOLO,desnutricion global,nutricion normal (n),2006-01-01,45,45,43,32,88,77,165
ARAMPAMPA,desnutricion global,nutricion normal (n),2006-01-01,32,33,32,41,64,74,138
ARANI,desnutricion global,nutricion normal (n),2006-01-01,5,7,3,1,8,8,16
ARBIETO,desnutricion global,nutricion normal (n),2006-01-01,20,13,6,9,26,22,48
ARQUE,desnutricion global,nutricion normal (n),2006-01-01,42,36,28,25,70,61,131
ATOCHA,desnutricion global,nutricion normal (n),2006-01-01,65,74,67,64,132,138,270
AUCAPATA,desnutricion global,nutricion normal (n),2006-01-01,15,27,15,15,30,42,72
AYATA,desnutricion global,nutricion normal (n),2006-01-01,76,48,53,57,129,105,234
AYO AYO,desnutricion global,nutricion normal (n),2006-01-01,23,31,10,5,33,36,69
AYOPAYA (V. DE INDEPENDENCIA),desnutricion global,nutricion normal (n),2006-01-01,134,141,98,98,232,239,471
AZURDUY,desnutricion global,nutricion normal (n),2006-01-01,198,170,191,149,389,319,708
BATALLAS,desnutricion global,nutricion normal (n),2006-01-01,88,71,26,31,114,102,216
BAURES,desnutricion global,nutricion normal (n),2006-01-01,22,28,15,21,37,49,86
BELEN DE ANDAMARCA,desnutricion global,nutricion normal (n),2006-01-01,3,4,1,4,4,8,12
BELEN DE URMIRI,desnutricion global,nutricion normal (n),2006-01-01,9,2,9,5,18,7,25
BELLA FLOR,desnutricion global,nutricion normal (n),2006-01-01,27,30,31,33,58,63,121
BERMEJO,desnutricion global,nutricion normal (n),2006-01-01,16,28,24,19,40,47,87
BETANZOS,desnutricion global,nutricion normal (n),2006-01-01,192,172,198,186,390,358,748
BOLIVAR,desnutricion global,nutricion normal (n),2006-01-01,37,44,43,45,80,89,169
BOLPEBRA,desnutricion global,nutricion normal (n),2006-01-01,15,16,20,12,35,28,63
BOYUIBE,desnutricion global,nutricion normal (n),2006-01-01,29,20,27,44,56,64,120
BUENA VISTA,desnutricion global,nutricion normal (n),2006-01-01,141,153,133,131,274,284,558
CABEZAS,desnutricion global,nutricion normal (n),2006-01-01,93,76,63,51,156,127,283
CAIROMA,desnutricion global,nutricion normal (n),2006-01-01,77,84,54,80,131,164,295
"CAIZA ""D""",desnutricion global,nutricion normal (n),2006-01-01,45,54,37,44,82,98,180
CAJUATA,desnutricion global,nutricion normal (n),2006-01-01,74,71,45,40,119,111,230
CALACOTO,desnutricion global,nutricion normal (n),2006-01-01,29,25,22,21,51,46,97
CALAMARCA,desnutricion global,nutricion normal (n),2006-01-01,89,129,80,56,169,185,354
CAMARGO,desnutricion global,nutricion normal (n),2006-01-01,140,158,112,82,252,240,492
CAMATAQUI (C. VILLA ABECIA),desnutricion global,nutricion normal (n),2006-01-01,30,23,29,14,59,37,96
CAMIRI,desnutricion global,nutricion normal (n),2006-01-01,203,187,152,142,355,329,684
CAPINOTA,desnutricion global,nutricion normal (n),2006-01-01,98,90,71,54,169,144,313
CAQUIAVIRI,desnutricion global,nutricion normal (n),2006-01-01,21,40,22,16,43,56,99
CARACOLLO,desnutricion global,nutricion normal (n),2006-01-01,40,56,17,24,57,80,137
CARANAVI,desnutricion global,nutricion normal (n),2006-01-01,307,279,152,146,459,425,884
CARANGAS,desnutricion global,nutricion normal (n),2006-01-01,4,2,0,1,4,3,7
CARAPARI,desnutricion global,nutricion normal (n),2006-01-01,71,75,52,55,123,130,253
CARIPUYO,desnutricion global,nutricion normal (n),2006-01-01,62,61,83,68,145,129,274
CARMEN RIVERO TORREZ,desnutricion global,nutricion normal (n),2006-01-01,24,12,18,12,42,24,66
CATACORA,desnutricion global,nutricion normal (n),2006-01-01,1,0,2,0,3,0,3
CHACARILLA,desnutricion global,nutricion normal (n),2006-01-01,7,3,2,6,9,9,18
CHALLAPATA,desnutricion global,nutricion normal (n),2006-01-01,88,91,56,63,144,154,298
